,Portfolio,Weeks_until_Rebalance,Biweekly_Contribution,Worst_Year,Best_Year,Estimated_Annual_Return,Typical_Returns
3626,"'VIGRX', 'IEF', 'WHOSX', 'OPGSX', 'DBC'",28.0,400.0,-10.18,19.23,9.86,-6.59 to 13.67
1881,"'VIGRX', 'IEI', 'WHOSX', 'INIVX', 'DBC'",1.0,200.0,-10.26,18.37,9.72,-6.61 to 12.63
3985,"'VIGRX', 'IEI', 'WHOSX', 'INIVX', 'GSG'",28.0,1000.0,-9.91,18.27,9.62,-6.32 to 12.66
2567,"'VIGRX', 'IEF', 'VUSTX', 'USERX', 'DBC'",39.0,1000.0,-10.63,18.48,9.61,-5.28 to 12.99
230,"'VIGRX', 'IEF', 'WHOSX', 'INIVX', 'GSP'",18.0,950.0,-9.99,17.59,9.57,-6.32 to 12.6
1485,"'VIGRX', 'IEF', 'PRULX', 'SGGDX', 'GSG'",21.0,350.0,-10.51,17.66,9.56,-5.75 to 12.16
3861,"'VIGRX', 'IPE', 'WHOSX', 'INIVX', 'DBC'",46.0,300.0,-13.49,20.47,9.54,-7.04 to 14.24
1838,"'VIGRX', 'IEF', 'WHOSX', 'OPGSX', 'GSP'",30.0,1000.0,-11.37,19.6,9.54,-7.03 to 14.11
1344,"'VIGRX', 'IEF', 'WHOSX', 'OPGSX', 'DBC'",44.0,400.0,-10.54,19.27,9.53,-7.25 to 14.16
2066,"'VIGRX', 'IEF', 'PRULX', 'OPGSX', 'GSP'",25.0,500.0,-11.14,19.1,9.52,-6.19 to 13.53
3104,"'VIGRX', 'IEF', 'VUSTX', 'SGGDX', 'GSG'",40.0,700.0,-10.3,18.24,9.5,-5.3 to 12.38
3609,"'SWPPX', 'IEF', 'WHOSX', 'OPGSX', 'DBC'",24.0,950.0,-10.33,17.71,9.5,-6.71 to 12.91
2652,"'VIGRX', 'IEF', 'WHOSX', 'SGGDX', 'DBC'",32.0,350.0,-9.89,16.78,9.49,-6.17 to 12.33
215,"'VIGRX', 'IEF', 'VUSTX', 'OPGSX', 'DJP'",42.0,300.0,-11.64,19.48,9.48,-6.49 to 14.48
47,"'VIGRX', 'IEF', 'WHOSX', 'SGGDX', 'DBC'",49.0,200.0,-9.12,16.76,9.47,-6.19 to 12.15
