Date,Open,High,Low,Close,Adj Close,Volume
2007-01-11,100.000000,100.000000,99.919998,99.919998,79.335762,1100
2007-01-12,99.879997,99.930000,99.849998,99.930000,79.343681,1500
2007-01-16,99.830002,99.830002,99.830002,99.830002,79.264320,600
2007-01-17,99.940002,99.940002,99.809998,99.820000,79.256363,700
2007-01-18,99.839996,99.910004,99.839996,99.910004,79.327812,6200
2007-01-19,99.860001,99.860001,99.779999,99.800003,79.240448,2000
2007-01-22,99.900002,99.900002,99.849998,99.849998,79.280190,1200
2007-01-23,99.750000,99.750000,99.709999,99.709999,79.168999,1200
2007-01-24,99.750000,99.750000,99.750000,99.750000,79.200768,1300
2007-01-25,99.660004,99.660004,99.550003,99.550003,79.041946,2100
2007-01-26,99.529999,99.559998,99.480003,99.559998,79.049866,1200
2007-01-29,99.599998,99.610001,99.500000,99.529999,79.026085,3100
2007-01-30,99.610001,99.610001,99.580002,99.580002,79.065750,400
2007-01-31,99.669998,99.839996,99.669998,99.839996,79.272240,3600
2007-02-01,99.739998,99.739998,99.519997,99.529999,79.222084,1600
2007-02-02,99.550003,99.660004,99.550003,99.580002,79.261871,6800
2007-02-05,99.709999,99.709999,99.709999,99.709999,79.365372,7100
2007-02-06,99.669998,99.879997,99.669998,99.879997,79.500648,6600
2007-02-07,99.949997,99.989998,99.940002,99.989998,79.588226,2200
2007-02-08,99.970001,100.029999,99.949997,100.029999,79.620064,7500
2007-02-09,99.809998,99.809998,99.809998,99.809998,79.444916,2000
2007-02-12,99.800003,99.860001,99.709999,99.730003,79.381302,5000
2007-02-13,99.800003,99.800003,99.690002,99.690002,79.349449,1900
2007-02-14,99.889999,100.129997,99.889999,100.120003,79.691711,16600
2007-02-15,100.239998,100.300003,100.220001,100.269997,79.811104,9900
2007-02-16,100.290001,100.290001,100.260002,100.279999,79.819038,16300
2007-02-20,100.239998,100.320000,100.239998,100.269997,79.811104,5400
2007-02-21,100.300003,100.360001,100.300003,100.360001,79.882744,1900
2007-02-22,100.209999,100.209999,100.209999,100.209999,79.763367,200
2007-02-23,100.230003,100.470001,100.230003,100.419998,79.930473,13300
2007-02-26,100.550003,100.620003,100.540001,100.589996,80.065773,1400
2007-02-27,100.830002,101.269997,100.830002,101.199997,80.551315,12300
2007-02-28,101.199997,101.199997,100.970001,101.019997,80.408089,126000
2007-03-01,100.820000,100.949997,100.680000,100.680000,80.423225,48700
2007-03-02,100.919998,100.959999,100.839996,100.959999,80.646889,13600
2007-03-05,101.099998,101.110001,100.959999,100.989998,80.670845,8500
2007-03-06,100.849998,101.010002,100.800003,100.889999,80.590996,10200
2007-03-07,100.900002,101.029999,100.900002,101.029999,80.702805,4600
2007-03-08,100.980003,101.050003,100.970001,101.050003,80.718826,3500
2007-03-09,100.620003,100.730003,100.620003,100.690002,80.431252,8400
2007-03-12,100.769997,100.900002,100.769997,100.870003,80.575012,8300
2007-03-13,101.089996,101.269997,101.050003,101.180000,80.822639,25200
